Site Ref,Project Site Reference,Site Type,Site Subtype,Site Geographic Feature,Site Name,Site full Name,Zone,Easting,Northing,Longitude,Latitude,Geographic Datum,"1:250,000 Map Index",GgStn Catchment Area (km2),Catchment,Estuary,BOM Rainfall District,Local Govt Authority,Locality,Department Region,Local Landmark Name,Groundwater Province,River Basin,Groundwater Area,Surfacewater Area,Site Comment,URL 
6160259,ARM,Surface (other),Sampling location,Estuary,Swan-Canning Estuary - Lwrswn - Arm,Armstrong Spit,50,387504,6458161,115.80895,-32.007069,GDA94,SH5014,N/A,SwanAvon_Lower Swan,Swan River,9 - Central Coast,,,,,Perth,616 - Swan Coastal,Perth,Swan River and Tributaries,,https://www.dropbox.com/s/syocvrbhzat5agd/ARM.jpg?dl=1
6163105,BAC,Surface (other),Sampling location,River/Stream,Canning River - Bacon St,Bacon St,50,398643.33,6456555.85,115.9267,-32.0226,GDA94,SH5014,N/A,SwanAvon_Canning River,,9 - Central Coast, CITY OF CANNING,WILSON,,,Perth,616 - Swan Coastal,Perth,Canning River,,https://www.dropbox.com/s/0s643bd93kfpai8/BAC.jpg?dl=1
6163447,BACD300,Surface (other),Sampling location,River/Stream,Canning River Bacon Street - Downstream 300M,Downstream 300M,50,398583.01,6456300.93,115.926034,-32.024894,GDA94,SH5014,N/A,SwanAvon_Canning River,,9 - Central Coast, CITY OF CANNING,FERNDALE,,,Perth,616 - Swan Coastal,Perth,Canning River,,https://www.dropbox.com/s/4h2fitwkq4h3vi5/BACD300.jpg?dl=1
6163441,BACD500,Surface (other),Sampling location,River/Stream,Canning River - Bacon Downstream,Bacon DS,50,398400.66,6456265.19,115.9241,-32.0252,GDA94,SH5014,N/A,SwanAvon_Canning River,Swan River,9 - Central Coast, CITY OF CANNING,FERNDALE,,,Perth,616 - Swan Coastal,Perth,Canning River,,https://www.dropbox.com/s/qelmut9l72sandf/BACD500.jpg?dl=1
6163442,BACU300,Surface (other),Sampling location,River/Stream,Canning River Bacon Street - Upstream 300M,Upstream 300M,50,398621.91,6456810.62,115.9265,-32.0203,GDA94,SH5014,N/A,SwanAvon_Canning River,,9 - Central Coast, CITY OF CANNING,WILSON,,,Perth,616 - Swan Coastal,Perth,Canning River,,https://www.dropbox.com/s/s11hgzs4ck5o9t2/BACU300.jpg?dl=1
6160258,BLA,Surface (other),Sampling location,Estuary,Swan-Canning Estuary - Lwrswn - Bla,Blackwall Reach,50,385172,6457020,115.784129,-32.017126,GDA94,SH5014,N/A,SwanAvon_Lower Swan,Swan River,9 - Central Coast,,,,,Perth,616 - Swan Coastal,Perth,Swan River and Tributaries,The blackwall reach site changed location from original coordinates e385081; n6456807 to those detailed in this form from 13/12/2010. The original site was a private mooring which swan river trust had an agreement to use.This mooring broke and was temporarily unavailable and it was then decided to permanently move the site location approximately 230m upstream to the swan river trust owned mooring. The new location is in a similar depth of water (15-16m) and is considered to be the same site with respect to data collection and analysis.  ,https://www.dropbox.com/s/p5dj6ou4ohkvgtd/BLA.jpg?dl=1
6162995,CASMID,Surface (other),Sampling location,Estuary,Swan-Cannins Estuarylwrcan - Castledare Mid,Castledare Mid,50,397599,6456555,115.915643,-32.022513,GDA94,SH5014,N/A,SwanAvon_Lower Swan,Swan River,9 - Central Coast, CITY OF CANNING,WILSON,,,Perth,616 - Swan Coastal,Perth,Swan River and Tributaries,Mid-channel from original cas (castledare) site  ,https://www.dropbox.com/s/9dwbkd7r9os98dh/CASMID.jpg?dl=1
6160118,CAV,Surface (other),Sampling location,River/Stream,Caversham Avenue Jetty - Unnamed,Unnamed,50,404687.3,6472636,115.992278,-31.878075,GDA94,SH5014,N/A,SwanAvon_Lower Swan,,9 - Central Coast, CITY OF SWAN,VIVEASH,,John George Walk Trail,Perth,616 - Swan Coastal,Swan,Swan River and Tributaries,,https://www.dropbox.com/s/lom65xiwui6axs3/CAV.jpg?dl=1
6163119,ELL,Surface (other),Sampling location,River/Stream,Canning River - Ellison Pde,Ellison Pde,50,400846.6,6455324.76,115.949901,-32.0339,GDA94,SH5014,N/A,SwanAvon_Canning River,,9 - Central Coast, CITY OF GOSNELLS,BECKENHAM,Swan-Avon,Yule Brook,Perth,616 - Swan Coastal,Perth,Canning River,,https://www.dropbox.com/s/0kzhbmvkxcln2qy/ELL.jpg?dl=1
6163124,GRE,Surface (other),Sampling location,River/Stream,Canning River - Greenfield St Bridge,Greenfield St Bridge,50,399251.01,6456529.94,115.933131,-32.022888,GDA94,SH5014,N/A,SwanAvon_Canning River,,9 - Central Coast, CITY OF CANNING,FERNDALE,,,Perth,616 - Swan Coastal,Perth,Canning River,,https://www.dropbox.com/s/5w5d9auk64nxrho/ELLISB.jpg?dl=1
