Site,s_graph_value,s_table_name
AIRSMD,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_01273
AIRSMD,Bottom Depth (m),sensor_repository_01243
AIRSMD,C (sol org) {DOC as NPOC} (ug/L),sensor_repository_01276
AIRSMD,Chlorophyll a (by vol) (mg/L),sensor_repository_01287
AIRSMD,Chlorophyll a (in situ) (RFU),sensor_repository_01305
AIRSMD,Chlorophyll a (in situ) (ug/L),sensor_repository_01302
AIRSMD,Chlorophyll b (by vol) (mg/L),sensor_repository_01290
AIRSMD,Chlorophyll c (by vol) (mg/L),sensor_repository_01293
AIRSMD,Chlorophyll sample volume (mL),sensor_repository_01296
AIRSMD,Cloud cover (%),sensor_repository_01315
AIRSMD,Collection Method,sensor_repository_01213
AIRSMD,Conductivity @ 25 deg C (uS/cm),sensor_repository_01223
AIRSMD,Depth (m),sensor_repository_01216
AIRSMD,Depth _s (m),sensor_repository_01215
AIRSMD,Depth measuring point,sensor_repository_01214
AIRSMD,Depth To (m),sensor_repository_01217
AIRSMD,Dissolved Oxygen (% saturation),sensor_repository_01232
AIRSMD,Dissolved Oxygen (mg/L),sensor_repository_01229
AIRSMD,Flow status,sensor_repository_01317
AIRSMD,N (sum sol org) {DON} (ug/L),sensor_repository_01255
AIRSMD,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_01249
AIRSMD,N (tot kjel) {TKN} (ug/L),sensor_repository_01258
AIRSMD,N (tot) {TN pTN} (ug/L),sensor_repository_01246
AIRSMD,NH3-N/NH4-N (sol) (ug/L),sensor_repository_01252
AIRSMD,NO2-N (sol) (ug/L),sensor_repository_01261
AIRSMD,NO3-N (sol) (ug/L),sensor_repository_01264
AIRSMD,Null reading,sensor_repository_01313
AIRSMD,P (tot) {TP pTP} (ug/L),sensor_repository_01267
AIRSMD,pH,sensor_repository_01234
AIRSMD,Phaeophytin a (by vol) (mg/L),sensor_repository_01299
AIRSMD,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_01311
AIRSMD,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_01308
AIRSMD,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_01270
AIRSMD,Program Code,sensor_repository_01211
AIRSMD,Program Site Ref,sensor_repository_01210
AIRSMD,Salinity (ppt),sensor_repository_01220
AIRSMD,Sample Type,sensor_repository_01212
AIRSMD,Secchi depth (m),sensor_repository_01240
AIRSMD,Security Level,sensor_repository_01218
AIRSMD,SiO2 (sol react) (ug/L),sensor_repository_01279
AIRSMD,SiO2-Si (sol react) (ug/L),sensor_repository_01282
AIRSMD,Site Ref,sensor_repository_01209
AIRSMD,Suspended Solids (Total) {TSS} (mg/L),sensor_repository_01285
AIRSMD,Temperature (deg C),sensor_repository_01226
AIRSMD,Tide status,sensor_repository_01318
AIRSMD,Turbidity (NTU),sensor_repository_01237
AIRSMD,Water level (SLE) (m),sensor_repository_01320
AIRSMD,Wind direction (°),sensor_repository_01323
AIRSMD,Wind speed (knot),sensor_repository_01326
ASHD,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_01511
ASHD,Bottom Depth (m),sensor_repository_01481
ASHD,C (sol org) {DOC as NPOC} (ug/L),sensor_repository_01514
ASHD,Chlorophyll a (by vol) (mg/L),sensor_repository_01525
ASHD,Chlorophyll a (in situ) (RFU),sensor_repository_01543
ASHD,Chlorophyll a (in situ) (ug/L),sensor_repository_01540
ASHD,Chlorophyll b (by vol) (mg/L),sensor_repository_01528
ASHD,Chlorophyll c (by vol) (mg/L),sensor_repository_01531
ASHD,Chlorophyll sample volume (mL),sensor_repository_01534
ASHD,Cloud cover (%),sensor_repository_01553
ASHD,Collection Method,sensor_repository_01451
ASHD,Conductivity @ 25 deg C (uS/cm),sensor_repository_01461
ASHD,Depth (m),sensor_repository_01454
ASHD,Depth _s (m),sensor_repository_01453
ASHD,Depth measuring point,sensor_repository_01452
ASHD,Depth To (m),sensor_repository_01455
ASHD,Dissolved Oxygen (% saturation),sensor_repository_01470
ASHD,Dissolved Oxygen (mg/L),sensor_repository_01467
ASHD,Flow status,sensor_repository_01555
ASHD,N (sum sol org) {DON} (ug/L),sensor_repository_01493
ASHD,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_01487
ASHD,N (tot kjel) {TKN} (ug/L),sensor_repository_01496
ASHD,N (tot) {TN pTN} (ug/L),sensor_repository_01484
ASHD,NH3-N/NH4-N (sol) (ug/L),sensor_repository_01490
ASHD,NO2-N (sol) (ug/L),sensor_repository_01499
ASHD,NO3-N (sol) (ug/L),sensor_repository_01502
ASHD,Null reading,sensor_repository_01551
ASHD,P (tot) {TP pTP} (ug/L),sensor_repository_01505
ASHD,pH,sensor_repository_01472
ASHD,Phaeophytin a (by vol) (mg/L),sensor_repository_01537
ASHD,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_01549
ASHD,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_01546
ASHD,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_01508
ASHD,Program Code,sensor_repository_01449
ASHD,Program Site Ref,sensor_repository_01448
ASHD,Salinity (ppt),sensor_repository_01458
ASHD,Sample Type,sensor_repository_01450
ASHD,Secchi depth (m),sensor_repository_01478
ASHD,Security Level,sensor_repository_01456
ASHD,SiO2 (sol react) (ug/L),sensor_repository_01517
ASHD,SiO2-Si (sol react) (ug/L),sensor_repository_01520
ASHD,Site Ref,sensor_repository_01447
ASHD,Suspended Solids (Total) {TSS} (mg/L),sensor_repository_01523
ASHD,Temperature (deg C),sensor_repository_01464
ASHD,Tide status,sensor_repository_01556
ASHD,Turbidity (NTU),sensor_repository_01475
ASHD,Water level (SLE) (m),sensor_repository_01558
ASHD,Wind direction (°),sensor_repository_01561
ASHD,Wind speed (knot),sensor_repository_01564
BANNC,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_01749
BANNC,Bottom Depth (m),sensor_repository_01719
BANNC,C (sol org) {DOC as NPOC} (ug/L),sensor_repository_01752
BANNC,Chlorophyll a (by vol) (mg/L),sensor_repository_01763
BANNC,Chlorophyll a (in situ) (RFU),sensor_repository_01781
BANNC,Chlorophyll a (in situ) (ug/L),sensor_repository_01778
BANNC,Chlorophyll b (by vol) (mg/L),sensor_repository_01766
BANNC,Chlorophyll c (by vol) (mg/L),sensor_repository_01769
BANNC,Chlorophyll sample volume (mL),sensor_repository_01772
BANNC,Cloud cover (%),sensor_repository_01791
BANNC,Collection Method,sensor_repository_01689
BANNC,Conductivity @ 25 deg C (uS/cm),sensor_repository_01699
BANNC,Depth (m),sensor_repository_01692
BANNC,Depth _s (m),sensor_repository_01691
BANNC,Depth measuring point,sensor_repository_01690
BANNC,Depth To (m),sensor_repository_01693
BANNC,Dissolved Oxygen (% saturation),sensor_repository_01708
BANNC,Dissolved Oxygen (mg/L),sensor_repository_01705
BANNC,Flow status,sensor_repository_01793
BANNC,N (sum sol org) {DON} (ug/L),sensor_repository_01731
BANNC,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_01725
BANNC,N (tot kjel) {TKN} (ug/L),sensor_repository_01734
BANNC,N (tot) {TN pTN} (ug/L),sensor_repository_01722
BANNC,NH3-N/NH4-N (sol) (ug/L),sensor_repository_01728
BANNC,NO2-N (sol) (ug/L),sensor_repository_01737
BANNC,NO3-N (sol) (ug/L),sensor_repository_01740
BANNC,Null reading,sensor_repository_01789
BANNC,P (tot) {TP pTP} (ug/L),sensor_repository_01743
BANNC,pH,sensor_repository_01710
BANNC,Phaeophytin a (by vol) (mg/L),sensor_repository_01775
BANNC,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_01787
BANNC,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_01784
BANNC,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_01746
BANNC,Program Code,sensor_repository_01687
BANNC,Program Site Ref,sensor_repository_01686
BANNC,Salinity (ppt),sensor_repository_01696
BANNC,Sample Type,sensor_repository_01688
BANNC,Secchi depth (m),sensor_repository_01716
BANNC,Security Level,sensor_repository_01694
BANNC,SiO2 (sol react) (ug/L),sensor_repository_01755
BANNC,SiO2-Si (sol react) (ug/L),sensor_repository_01758
BANNC,Site Ref,sensor_repository_01685
BANNC,Suspended Solids (Total) {TSS} (mg/L),sensor_repository_01761
BANNC,Temperature (deg C),sensor_repository_01702
BANNC,Tide status,sensor_repository_01794
BANNC,Turbidity (NTU),sensor_repository_01713
BANNC,Water level (SLE) (m),sensor_repository_01796
BANNC,Wind direction (°),sensor_repository_01799
